,lambda,alpha,sigma,plot_740_effect,plot_741_effect,plot_742_effect,plot_743_effect,plot_744_effect,plot_745_effect,plot_746_effect,plot_747_effect,plot_748_effect,plot_749_effect,plot_750_effect,plot_751_effect,plot_752_effect,plot_753_effect,plot_754_effect,plot_755_effect,plot_756_effect,plot_757_effect,plot_758_effect,plot_759_effect,plot_760_effect,plot_761_effect,plot_762_effect,plot_763_effect,convergence_code
AGHE,557.192665443235,0.0863291895475708,0.616839241099516,0.0100047630568526,0.0100057909991099,0.00999807750541262,0.0099978722802947,0.010005734179187,0.00999803782870369,0.0100028051767601,0.0100001226747486,0.0099978722802947,0.0100017714528709,0.0099978722802947,0.0099978722802947,0.0099978722802947,0.00999901874860778,0.0100063574946352,0.0100042378378669,0.0099978722802947,0.0099978722802947,0.00999865889579503,0.0099978722802947,0.0099978722802947,0.0100056808016961,0.0100012317027728,0.0100001012512978,0
AMME,47.7829128571908,0.0633142491551904,0.754610026628019,NA,NA,99.3216019883602,NA,NA,NA,NA,NA,NA,195.775889460156,NA,NA,NA,119.108048058647,48.4064635775008,NA,9.31351868507765,79.5466537107366,298.611743281129,228.003534254103,1.79734054080971,117.403374634454,563.167109214159,36.5365169385889,0
BRMA,10.6591158586394,0.0663662167362019,0.524244921034668,22.7715084251895,33.679242555009,17.3908265009303,9.0446167690306,27.724418642979,4.56693508903091,30.1063095095559,NA,NA,77.2080799920582,0.697880061153816,0.282361086991306,3.16425266545149,44.9396173014328,90.6520116728489,NA,5.55615653512824,29.0489579987905,51.5955100503189,29.5916481401554,9.44424628514167,80.5896277188216,57.2742248234485,29.2391392499384,0
CEME,78.780311910734,0.30203945959193,0.537356725384167,NA,NA,77.2362304899611,9.17752322613336,474.658802814434,NA,NA,NA,NA,2994.83788985811,NA,NA,NA,1410.8779920102,4203.74041376014,NA,94.4771147471279,366.714146920442,975.593197957627,296.031261317913,960.853014838004,1261.72174871369,1443.61306325471,686.867655602682,0
CLBO,79.7127212197811,0.15330314412273,0.721096503504415,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.345597331295,NA,NA,NA,167.230866471272,NA,NA,1.34984559738291e-06,117.967320058635,487.649017209864,39.836230356163,NA,28.2637510753522,310.577495906303,111.702759286161,0
CLPU,72.6246354780558,0.0622411964529115,0.64355782976978,NA,NA,NA,NA,NA,NA,NA,NA,NA,400.071402361614,NA,NA,NA,NA,300.42329569803,NA,18.9626253434147,38.9133619797089,131.976655926734,1.50726022413917e-05,13.8330515292986,33.4346800820925,70.2715262263346,32.5240895698598,0
CHGL,14.1672733710047,0.104531243421938,0.706595464062827,196.300670560715,12.09000151755,164.161240798578,153.448217296653,381.797422833382,16.4517438023679,65.9206920163659,158.537944923361,148.330699368058,475.813762422696,92.5701766671291,46.7470427936283,28.8120342548581,80.3628361122879,30.5967975976811,25.692196946559,29.3205412530928,NA,67.9794362951618,53.0896866239648,NA,261.081920523997,65.9654993294522,NA,0
EUPE,5.23670000707177,0.134339162633821,0.782601158805829,211.5953398352,59.3748862803669,100.230544463847,53.7969686673044,226.154175752664,14.8189305341689,197.105528990775,30.9013878196062,NA,366.5296297979,70.5176971875863,21.7967872856916,21.3348969911436,1122.0332916979,1531.57306685006,37.7012320540416,NA,26.1776625922976,NA,13.737024095623,14.704547379764,NA,NA,NA,0
HECO,1.74887086824251,0.421950472564518,0.69951515009949,3679.52547299611,3436.60146020507,419.538780264306,223.950251239175,493.618507718603,249.887274701175,1661.30260516365,585.54323673472,731.638888105654,2608.21332918611,310.479408757629,222.129939393804,228.006555561285,2404.59244607831,4540.53303652406,259.11096654878,12.1822404095442,213.664585357974,177.020960984139,NA,274.665233606552,432.134586907863,NA,210.411445616756,0
HOMU,10.0868897213101,0.283296074538914,0.740624213357831,299.772565078876,395.903432397476,120.211450156455,212.195675504624,479.353244544146,31.8341389112164,272.259825197398,NA,26.6962879782111,341.896035839336,60.9890898127631,69.0438598594961,112.414228088445,372.23448826453,348.616626788519,82.2264513916836,4.10312146443469,38.2935894099243,138.82802083647,29.7240850651712,66.3611688024448,136.349260516758,45.1736418900897,75.7418821064788,0
LACA,26.1756905282751,0.197439880638983,0.630905558663297,125.139388277317,59.1468539499671,47.9691571731197,52.2738515933804,203.004072699784,73.8491464565478,49.070502376371,8.06857796831274,11.4304175690202,169.001875346721,31.2332383988195,1.50451601816187,16.2552097062155,18.2633073558112,31.3804931511545,0,NA,85.626215929003,NA,NA,2.43140338887497,9.24653101660552,NA,NA,0
LOWR,30.2476172252165,0.301209464956959,0.629305518742478,483.158119068078,358.037528213148,155.623471826594,NA,124.075860723743,120.781185701823,110.717856293996,0.0692461798591254,105.963578264363,446.175665388548,33.479375700682,71.9131036404424,5.39388636881409,168.839523635156,225.987560011579,NA,92.9735621475522,279.062569760352,27.7342049792757,0,189.358303209573,200.499380620059,NA,NA,0
MEPO,7.10094006275603,0.227609689971,0.864299795971132,150.195596395951,0.000949009436677019,NA,NA,NA,NA,NA,NA,NA,594.191438276789,NA,NA,NA,102.473734966792,438.848548050785,NA,NA,NA,178.493088222525,81.8234734007292,160.541999107474,418.8153514414,38.2292772647033,NA,0
MICA,38.86928187039,0.300283172265968,0.486210468934517,NA,NA,NA,2.37031000805925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17977281619848,134.533263265212,63.9202497249617,NA,2.34140478589787,18.1115911308578,28.0864608585925,8.84084918562663,0
PLER,18.0113869326256,0.21949751654236,0.612391667394159,247.965259566904,697.701560583462,179.078758283416,237.814752200104,217.077970329757,38.633172846326,163.722409659865,81.9287722910635,105.26318448069,402.7841887994,68.9891819012365,60.7135425840281,19.8301312947866,138.041244993482,566.328789985588,15.1907383213914,2.09097786603164,39.9885375405618,119.403314043181,25.8996698482774,2.39924777157975,54.5442124035665,28.4112327484506,20.6251831524234,0
SACO,80.9008227334655,0.252770086044634,0.653049693569159,241.502527097006,405.918438217225,320.466380334953,162.211194283414,326.921167796418,0,408.353996325047,92.4761825360802,62.5411161257341,511.600927437284,312.211831704391,140.499955610466,151.750911824311,96.4500173833438,981.321428466268,169.250412722526,NA,32.0800715310189,NA,9.63945777030901,NA,66.9309838768598,NA,34.2647236272935,0
VUMA,28.5374538201863,0.0671541918113277,0.531159025664598,36.5711901876837,43.3104834775859,71.7586278014976,32.74612095072,64.8644124779399,21.6500267566983,128.686124053017,9.37580429167398,4.61492628050338,77.5869553937613,0,21.552636099842,26.7201804506823,111.221733746409,160.023481908309,8.7625261222572,5.9250684712811,34.8436335607541,86.0444307930245,19.1570004308744,12.3971560578821,50.0483648212089,71.5127763499043,26.7324403936191,0
