,alpha,sigma,plot_740_lambda,plot_741_lambda,plot_742_lambda,plot_743_lambda,plot_744_lambda,plot_745_lambda,plot_746_lambda,plot_747_lambda,plot_748_lambda,plot_749_lambda,plot_750_lambda,plot_751_lambda,plot_752_lambda,plot_753_lambda,plot_754_lambda,plot_755_lambda,plot_756_lambda,plot_757_lambda,plot_758_lambda,plot_759_lambda,plot_760_lambda,plot_761_lambda,plot_762_lambda,plot_763_lambda,convergence_code
AGHE,0.0854129167108847,0.473834183317076,830.282945606341,899.870465031648,434.38802432599,380.021217651739,911.690233661302,446.149850416309,716.964400244498,560.223549958958,399.40493637135,662.321766968446,394.747878561795,427.4271207806,418.320080644978,497.394267191407,958.273519978333,823.646617981416,358.977251879371,380.025965989568,473.770940779357,186.524885213649,365.735888764994,900.852632174643,629.635287078082,560.505555667529,0
AMME,0.0477432488450473,0.764887438071448,NA,NA,141.673399949548,NA,NA,NA,NA,NA,NA,225.934756645448,NA,NA,NA,159.973032260927,99.2850780372432,NA,49.5250387507271,127.587379238311,284.275132369796,251.888855511906,42.4095132970647,140.72234776519,401.825925920682,60.6550446146754,0
BRMA,0.0672304838054696,0.524149056572735,33.8007926815066,45.3009944714574,28.1387111790637,19.6209642178809,38.6265831935992,15.2942286254234,40.9322887427842,NA,NA,88.8537106694482,11.4209712797409,11.0136641873703,13.7276431986988,57.661107324198,100.436320946706,NA,16.4213039109401,39.9798631609544,63.9808287287492,40.5017167528381,20.0664531121423,91.8093647900444,69.2509319401141,40.1312669261566,0
CEME,0.313457054212136,0.537848858317512,NA,NA,162.241790192638,87.0110072992343,570.133200779776,NA,NA,NA,NA,2895.14399583419,NA,NA,NA,1672.16738188033,3703.09407250211,NA,170.695629605147,455.017319963298,1091.05556786245,374.851934363066,1075.18025688645,1561.76596280984,1831.72059184132,807.406748622973,0
CLBO,0.138398034502718,0.721813591322023,NA,NA,NA,NA,NA,NA,NA,NA,NA,251.264120424245,NA,NA,NA,241.655492711319,NA,NA,76.7394839414187,182.789013714356,509.804817594853,110.821049410638,NA,97.2689958955794,359.350174334627,169.088192448789,0
CLPU,0.0547260087459617,0.649875176473161,NA,NA,NA,NA,NA,NA,NA,NA,NA,355.264341605188,NA,NA,NA,NA,309.432178650656,NA,90.9682418677035,102.897262182968,205.540202290401,67.1568967957983,82.4870816790792,93.5751451346929,133.709361203097,95.5204662988107,0
CHGL,0.103314056769447,0.706224469961146,213.544512269807,26.6953896903405,176.461952977241,159.645730029765,369.73349066971,31.0905599770807,78.5080378897224,177.667470628989,171.193975830311,442.8296680501,106.085170519285,62.9029699436567,43.080010755373,93.1927403748202,45.0685729851922,39.7056642849431,44.7171563756163,NA,80.0063122671053,69.6378791392327,NA,276.610883600638,80.3934728772083,NA,0
EUPE,0.130906952972369,0.787290084617823,231.069671292719,64.9711123371986,98.0365368058577,60.6061410391581,248.551443255128,19.6693397019635,200.573484323515,34.4643127436731,NA,437.399348812194,71.8310987378334,26.4957473685619,26.1488007615296,961.105688802591,1234.74948614187,42.6476660091039,NA,31.1293669775542,NA,18.5042491465296,19.9011804510353,NA,NA,NA,0
HECO,0.355226355979519,0.7113293264188,2517.36557935249,2383.63109702932,391.1123219527,215.208643646738,404.695691885563,233.492398918057,1358.77461043767,507.609856154205,729.405785540607,1906.07399354465,290.599891394611,203.711772864506,219.043554361897,1786.95290432428,2971.52053641695,250.15668930874,13.216268631473,194.106453056939,147.561961781897,NA,263.954036195796,376.703536355449,NA,191.496172228126,0
HOMU,0.292749041244336,0.739262942667376,304.344150792962,418.081849416755,135.377067648381,255.750268892709,500.87112539481,43.3183823777267,279.093393695212,NA,37.5556813745779,401.197097622495,71.8956371215212,79.4628029710735,120.992230150641,393.711695109802,408.868803528685,95.7571836262835,14.3901120944517,49.3154339619247,151.498209702886,40.7148604063179,76.6185672759149,146.541493786844,57.4578435278,86.4931384305892,0
LACA,0.198501826877204,0.630914342794958,155.929605657123,85.5904445415811,74.2081225588728,78.4326532448426,219.315926214321,102.331403104571,75.194332671942,34.2550393410797,37.7518005508106,195.274200204872,57.4376534172869,27.7796564072858,42.7216402999213,44.7432399427617,57.5999808448008,25.9978354962488,NA,115.880662330905,NA,NA,29.0216395705705,35.5464765293578,NA,NA,0
LOWR,0.299128960324524,0.629053255751805,478.821252646979,405.283066928132,186.08277148179,NA,152.945716665307,150.712096209245,139.330966727849,30.2085866254006,135.222550648035,451.377717243835,63.2659284841269,102.27725211713,36.1767546493547,197.276974458957,262.712279751867,NA,125.637003377921,310.328140378132,57.7201463471309,29.8259652966936,218.050017915717,233.313305420942,NA,NA,0
MEPO,0.223971715974552,0.864288675816506,159.097842056562,7.03877512046787,NA,NA,NA,NA,NA,NA,NA,592.278452528377,NA,NA,NA,103.183011867898,420.575712929287,NA,NA,NA,187.448691988452,90.1926744191143,168.266596353003,403.592479161961,45.2695675446517,NA,0
MICA,0.300375987004089,0.486218370254842,NA,NA,NA,41.3571993851369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0080700164705,174.871904701481,102.219023628378,NA,41.2516745716673,56.8109217838613,67.1578614209561,47.7094512851962,0
PLER,0.217048631429836,0.614505091987301,287.345010885059,592.378125835592,198.259012604711,268.443629312101,239.149587700859,56.6285238247739,183.756431003181,97.4161658166969,124.437274286975,412.849082551629,85.4778906250841,76.3865372912005,37.5938688007636,159.839703072125,527.760564199187,32.9451601932486,19.9713313011451,57.5388591949886,135.148447655533,44.2105093886725,20.1670455091707,71.3871385932418,46.599535477017,38.2796537472056,0
SACO,0.257301475564296,0.653780151744344,318.823027482001,492.997431235709,413.610937224061,247.450817101233,405.381347304353,81.4345397759651,484.307126659888,184.798541436432,148.817393017446,621.185107990259,402.047757670595,228.743234797342,247.155448173227,190.365543770952,921.98976657159,251.793213399633,NA,115.995493821369,NA,93.6586247219875,NA,151.127199204338,NA,115.28335700108,0
VUMA,0.0678170604764415,0.531251139370121,65.4673353692066,71.1059347275815,101.505635397675,60.9724997900768,91.9307612466886,50.0168018449362,158.780371421203,36.9704952294233,33.7982973921284,109.236006540122,28.5325816457907,50.5786000125055,55.5476868841391,144.855192078619,182.528429986208,38.8058542984035,34.8880581895193,63.4778325098252,119.885420907566,47.866629449705,41.6049341651326,76.8481453149189,101.300676668318,55.7043722499265,0
