,sigma,plot_740_alpha,plot_741_alpha,plot_742_alpha,plot_743_alpha,plot_744_alpha,plot_745_alpha,plot_746_alpha,plot_747_alpha,plot_748_alpha,plot_749_alpha,plot_750_alpha,plot_751_alpha,plot_752_alpha,plot_753_alpha,plot_754_alpha,plot_755_alpha,plot_756_alpha,plot_757_alpha,plot_758_alpha,plot_759_alpha,plot_760_alpha,plot_761_alpha,plot_762_alpha,plot_763_alpha,plot_740_lambda,plot_741_lambda,plot_742_lambda,plot_743_lambda,plot_744_lambda,plot_745_lambda,plot_746_lambda,plot_747_lambda,plot_748_lambda,plot_749_lambda,plot_750_lambda,plot_751_lambda,plot_752_lambda,plot_753_lambda,plot_754_lambda,plot_755_lambda,plot_756_lambda,plot_757_lambda,plot_758_lambda,plot_759_lambda,plot_760_lambda,plot_761_lambda,plot_762_lambda,plot_763_lambda,convergence_code
AGHE,0.420972843993243,0.186529027479345,0.0821704337575443,0.119094346606104,0.166387840470978,0.0517850926985131,0.0907668600732213,0.170318153997136,0.100734269876073,0.460430453816323,0.0611435462712746,0.125989881729934,0.0305626375581249,0.0821114834827203,0.0795143710445314,0.128502389292558,0.105597467310269,0.0527274336630049,0.0494824870074218,0.11725169071745,0.000735608044415283,0.060293088368351,0.0668098720263514,0.0222906140432134,0.0614918291215679,986.766239132547,911.268885397045,503.000519849,505.056045596319,897.230770076614,468.104701197471,868.918674582051,589.167630302193,775.734752525628,611.998596786687,414.901020191985,339.670764968391,426.837038921131,490.467447236219,1119.09481350213,912.406138320079,306.537114303786,313.636480093967,540.687794064452,112.230727808758,322.21306784823,896.785488840955,482.401617153654,509.925502246287,0
AMME,0.692630413404596,NA,NA,0.0897795542566701,NA,NA,NA,NA,NA,NA,0.0635805586539671,NA,NA,NA,0.19850676674515,0.195844516019037,NA,0.0203553216612659,0.218832121508718,0.00994137148718368,0.0732098617390065,0.056779424327025,0.10210868372934,0.0527941715699093,1e-10,NA,NA,170.943063011128,NA,NA,NA,NA,NA,NA,287.136504721573,NA,NA,NA,273.431296485459,174.815247745646,NA,41.8550004510132,206.901661616782,291.839681438734,319.515235675621,46.1487553581388,227.457931577522,446.546986034298,44.7093916192216,0
BRMA,0.449242340998335,0.0791166913664349,0.0163148732637018,0.0292951566505083,0.0231191582604169,0.0507086226650585,1e-10,0.0531320591531979,NA,NA,0.258597384595657,NA,0.110268020483313,0.0219224784581062,0.261298976574369,0.0248676634593691,NA,0.026648029111765,0.160050412212499,0.0371854065269396,0.0941848962905413,0.0441755775277852,0.0959105818081298,0.146266883087961,0.0309454638336573,35.6374250906323,34.5331982678005,20.939381441358,15.2130889819161,35.9877718736137,8.66931692289284,37.8817736112747,NA,NA,147.866886776094,11.9073620762693,12.7793326031984,10.2351474625994,98.6088920168482,77.0132584289468,NA,13.4013701567202,56.8451022892543,52.9045047537229,45.9384436880975,17.3541256083645,104.757981005965,93.7465486398147,30.7941798797006,0
CEME,0.489306515963948,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.298711787097777,NA,NA,NA,0.451990952983382,0.218592426021501,NA,0.0474648966798057,NA,0.233489289024119,0.139346710481361,0.419437315787393,0.481923879447274,0.430367452966602,0.353894500738774,NA,NA,153.952572059536,87.8808689907438,573.753792573124,NA,NA,NA,NA,2885.30986534766,NA,NA,NA,1723.30435964984,3699.81344551733,NA,72.7446994737276,433.324808379718,1011.54343502191,244.660555044854,1152.99320267516,1612.54516140308,1878.81768902506,837.772829173728,0
CLBO,0.397436931651553,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0692982067037049,NA,NA,NA,0.124066681062645,NA,NA,1.83186864457271,0.278575896446431,1e-10,0.248899126266253,NA,0.558182305230479,0.0267462769106517,0.392503242783293,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.217059916393,NA,NA,NA,235.343605298998,NA,NA,308.267771495119,221.639909835402,220.424248862615,161.909197547546,NA,279.675554244486,207.08943645754,308.225889553464,0
CLPU,0.512055946583082,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0450437325624428,NA,NA,NA,NA,NA,NA,0.111142631886681,0.127397282794222,0.0269374138038656,0.0729116468473739,0.396867481522736,0.0434347620205872,1e-10,0.168792948617112,NA,NA,NA,NA,NA,NA,NA,NA,NA,368.33788908126,NA,NA,NA,NA,347.279479223565,NA,111.687418236653,147.95363963778,157.305829439012,79.9939754692145,152.782537905822,93.7520205970458,76.3291876096742,164.31444745448,0
CHGL,0.562798811444709,0.171028297793248,1.85104623021574,0.160629760543296,0.14789676144839,0.134983070558136,0.405090043482768,1e-10,0.107501349987755,0.109253379985316,0.208866732299588,0.066783763117825,0.0121153432050051,0.0228276153416514,0.0243781713700343,0.000807334579635733,0.0671489850100555,0.0960292242316321,NA,0.100738004262977,0.0313950465340109,NA,NA,0.00681024002452155,NA,218.838874595725,122.535966544995,187.641359203569,170.027244008773,371.838334722458,56.7156745074115,41.3345311409453,176.260905055723,170.221163206174,453.042341475439,95.5467648108811,44.243259284719,24.8491404906241,60.4838169582917,15.4808674089629,32.7556279347869,42.4237273153126,NA,80.3431439722375,56.0958072066009,NA,278.052226849838,57.7461611789284,NA,0
EUPE,0.730494092359029,0.289703583152123,0.227849192968073,0.129030766689119,0.108218896677984,0.0836558903468408,0.0368745630018741,0.120190740266327,0.923394907149178,NA,0.169053484477385,0.250621865509862,0.311228291921405,0.0539012617340803,0.0782035743061314,0.0723808159636825,0.0621109664457024,NA,NA,NA,0.230028575734251,NA,NA,NA,NA,298.293682502412,78.5044576810184,103.865401408097,55.542674583724,214.454288993984,12.5204394545529,198.454458607994,64.2611653104927,NA,415.777923604024,92.312389158087,36.9209998126623,19.1556621579465,936.245631292928,1250.48498002224,33.4407731434189,NA,31.3449959767767,NA,23.2638444549248,17.3567093915514,NA,NA,NA,0
HECO,0.563539499105684,0.140242165066981,0.128975226458133,0.51854681581726,0.229344384450091,1.74925452112266,0.584194680827288,0.357730819628781,0.0717102494384596,0.570693657855762,0.367530506176548,0.341549267728413,0.92686198340764,1.08454714632911,0.503009472940695,0.147506603180984,0.539195545094945,NA,0.532978264116922,0.14944971194075,NA,0.433178370016013,2.34068925818091,NA,0.146728667462527,2474.53120067383,2295.10749454848,470.892077364464,181.475515951773,891.234959157728,308.824561133504,1351.65870465824,326.207719068416,870.762047405376,1935.48981268666,283.366364910626,294.399490446136,371.52417490313,1877.21851521595,3033.19829084633,299.359782616729,9.53040836053101,242.282505706317,109.171312805175,NA,279.656814629401,924.771017399874,NA,123.104396204423,0
HOMU,0.610638429464099,0.173959859900589,0.980643621798205,0.574106427895804,0.842107505143116,0.537979466285689,0.0991575051638732,0.592460480762063,NA,0.0302238304114753,0.649253524254962,0.251576280065673,0.242713352031129,0.0866223964847014,1.15768086165378,0.451727895786664,0.0953723726278796,0.00515987120418452,0.300211631221694,0.340964792654265,0.153492383315118,0.111071620025018,0.492817457359036,0.674194581146195,0.194560002469049,237.236293148822,660.639059881922,196.064517269586,424.152228237431,642.694325870847,28.2968069245782,396.239100766141,NA,18.7537672264888,590.563452259017,67.0840445827984,74.170103077089,74.6365400563168,671.864086361657,513.813986831138,62.4758409949207,5.47500426997844,49.8759956630003,158.722857231692,29.2403593201917,48.6963463723622,182.602202510042,92.189866912586,71.0510456704404,0
